"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","pairTrialsPerBlock","good_stim","reward_type","correct_response","accuracy"
"773.4999999999995","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar continue.</p>","32","html-keyboard-response","0","778","0.0-0.0","","","","","","","",""
"457.8000000000002","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","1","1240","0.0-1.0","","","","","","","",""
"358.39999999999963","<p>The better picture in each pair will be more likely to either</p><p>A) win you some money,</p><p>or</p><p>B) allow you to keep the money you've already earned.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","2","1600","0.0-2.0","","","","","","","",""
"377.8000000000002","<p>On those trials where you can A) win money, you will want to select the picture most likely to earn a nickel:</p><img style=""height:100px; width:100px"" src=""stim/win.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","3","1979","0.0-3.0","","","","","","","",""
"427.2999999999993","<p>On those trials where you can B) lose money, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_money.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/lose.bmp""></img><p>you probably aren't selecting the best picture...</p>","32","html-keyboard-response","4","2408","0.0-4.0","","","","","","","",""
"445.40000000000054","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 2 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","5","2855","0.0-5.0","","","","","","","",""
"1825.1000000000003","<p>First you will do some practice trials.</p> <p>Press either button when you are ready to begin.</p>","49","html-keyboard-response","6","4681","0.0-6.0","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","5197","0.0-7.0-0.0","fixation","","","","","","",""
"521.7999999999993","<img src='stim/b/Trees_with_flowers.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/wheat_with_farmhouse.jpg'>","49","html-keyboard-response","8","5722","0.0-7.0-1.0","practice","ef","1","6","e","avoid:lose","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/b/Trees_with_flowers.jpg'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/b/wheat_with_farmhouse.jpg'>","null","html-keyboard-response","9","6736","0.0-7.0-2.0","feedback","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","10","7752","0.0-7.0-0.1","fixation","","","","","","",""
"804.6999999999989","<img src='stim/b/closeWater_pines_mountains.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/African_landscape.jpg'>","49","html-keyboard-response","11","8559","0.0-7.0-1.1","practice","ab","1","6","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/b/closeWater_pines_mountains.jpg'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/b/African_landscape.jpg'>","null","html-keyboard-response","12","9573","0.0-7.0-2.1","feedback","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","13","10586","0.0-7.0-0.2","fixation","","","","","","",""
"415.10000000000036","<img src='stim/b/African_landscape.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/closeWater_pines_mountains.jpg'>","50","html-keyboard-response","14","11005","0.0-7.0-1.2","practice","ab","1","6","a","win:stay","49","0"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/African_landscape.jpg'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #808080;'src='stim/b/closeWater_pines_mountains.jpg'>","null","html-keyboard-response","15","12020","0.0-7.0-2.2","feedback","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","16","13035","0.0-7.0-0.3","fixation","","","","","","",""
"452.90000000000145","<img src='stim/b/wheat_with_farmhouse.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/Trees_with_flowers.jpg'>","50","html-keyboard-response","17","13490","0.0-7.0-1.3","practice","ef","1","6","e","avoid:lose","50","1"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/wheat_with_farmhouse.jpg'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #808080;'src='stim/b/Trees_with_flowers.jpg'>","null","html-keyboard-response","18","14505","0.0-7.0-2.3","feedback","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","19","15504","0.0-7.0-0.4","fixation","","","","","","",""
"1078.699999999997","<img src='stim/b/African_landscape.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/closeWater_pines_mountains.jpg'>","49","html-keyboard-response","20","16586","0.0-7.0-1.4","practice","ab","1","6","a","win:stay","49","1"
