ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,,
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,,
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,Required field,sessiondate
interview_age,Integer,,Required,Age in months at the time of the interview/test/sampling/imaging.,0 :: 1260,"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",
sex,String,20,Required,Sex of the subject,M;F,M = Male; F = Female,gender
session,Integer,,Recommended,Session,,,
sample_group,Integer,,Recommended,Sample group selection,1;2,1=Clinical; 2=Healthy control,
site,String,,Recommended,"(yale, mprc, etc.)",,,
block_type,String,,Recommended,Block type,practice;training;test,,
block_number,Integer,,Recommended,Block number,,,
trial_number,Integer,,Recommended,Trial number,,,
trial_validity,String,,Recommended,does the feedback provide accurate or inaccurate information on the current stimulus pair values?,valid;invalid,,
reward_type,String,,Recommended,is it a win:stay or avoid:lose trials? Win:stay trials allow you to win or keep your money; avoid:lose allow you to lose or avoid losing money.,,,
pair,String,,Recommended,"stimulus pair (eg, `AB`)",,,
pair_validity,Float,,Recommended,percentage of time a given pair is valid,0 :: 1,,
better_stim,String,,Recommended,"best element of the stimulus pair (eg, `A`)",,,
filename_left,String,,Recommended,which image is presented on the left of the screen,,,
filename_right,String,,Recommended,which image is presented on the right of the screen,,,
filename_better,String,,Recommended,which of the two images is most often rewarded,,,
filename_feedback,String,,Recommended,which feedback image is displayed,,,
correct_response,Integer,,Recommended,allowable responses are left and right arrow keys (ascii codes 37 and 39),,,
participant_response,Integer,,Recommended,allowable responses are left and right arrow keys (ascii codes 37 and 39),,,
rt,Float,,Recommended,reaction time,,,
accuracy,Integer,,Recommended,did they choose the better_stim,,,
