"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","site","interview_date","interview_age","sex","trial","block","accuracy","stim_feedback","stim_set","reward_set","reward_tally"
"560.0000000558794","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar continue.</p>","32","html-keyboard-response","0","566","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"396.9999998807907","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","1","965","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","",""
"331.99999993667006","<p>The better picture in each pair will be more likely to either</p><p>A) win you some points,</p><p>or</p><p>B) allow you to keep the points you've already earned.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","2","1297","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"649.0000002086163","<p>On those trials where you can A) win points, you will want to select the picture most likely to earn points:</p><img style=""height:100px; width:100px"" src=""stim/winpoints.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","3","1949","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","",""
"451.9999995827675","<p>On those trials where you can B) lose points, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_points.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/losepoints.bmp""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","4","2405","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","",""
"631.0000000521541","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 0 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","5","3037","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","",""
"1030.0000002607703","<p>First you will do some practice trials.</p> <p>Press either button when you are ready to begin.</p>","49","html-keyboard-response","6","4069","0.0-6.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","4572","0.0-7.0-0.0","","","","","","","","","","","","","","","","","","","","","","","",""
"489.99999975785613","<img src='stim/a/Field11.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field14.bmp'>","49","html-keyboard-response","8","5069","0.0-7.0-1.0","training","cd","0.8","valid","10","c","win:stay","48","Field11.bmp","Field14.bmp","Field14.bmp","GUID","1","00","10/09/2020","","","1","1","0","not_winner.png","A","points","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field11.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field14.bmp'>","null","html-keyboard-response","9","6074","0.0-7.0-2.0","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","10","7079","0.0-7.0-0.1","","","","","","","","","","","","","","","","","","","","","","","",""
"446.9999996945262","<img src='stim/a/Field5.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field3.bmp'>","49","html-keyboard-response","11","7533","0.0-7.0-1.1","training","ab","0.9","valid","10","a","win:stay","48","Field5.bmp","Field3.bmp","Field3.bmp","GUID","1","00","10/09/2020","","","2","1","0","not_winner.png","A","points","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field5.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field3.bmp'>","null","html-keyboard-response","12","8544","0.0-7.0-2.1","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","13","9549","0.0-7.0-0.2","","","","","","","","","","","","","","","","","","","","","","","",""
"635.9999999403954","<img src='stim/a/Field16.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field15.bmp'>","49","html-keyboard-response","14","10193","0.0-7.0-1.2","training","gh","0.8","valid","10","g","avoid:lose","48","Field15.bmp","Field16.bmp","Field15.bmp","GUID","1","00","10/09/2020","","","3","1","0","losepoints.bmp","A","points","-1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field16.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/losepoints.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field15.bmp'>","null","html-keyboard-response","15","11199","0.0-7.0-2.2","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","16","12206","0.0-7.0-0.3","","","","","","","","","","","","","","","","","","","","","","","",""
"393.9999998547137","<img src='stim/a/Field12.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field9.bmp'>","49","html-keyboard-response","17","12625","0.0-7.0-1.3","training","ef","0.9","valid","10","e","avoid:lose","48","Field12.bmp","Field9.bmp","Field9.bmp","GUID","1","00","10/09/2020","","","4","1","0","losepoints.bmp","A","points","-2"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field12.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/losepoints.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field9.bmp'>","null","html-keyboard-response","18","13631","0.0-7.0-2.3","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","19","14654","0.0-7.0-0.4","","","","","","","","","","","","","","","","","","","","","","","",""
"700.999999884516","<img src='stim/a/Field3.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field5.bmp'>","49","html-keyboard-response","20","15373","0.0-7.0-1.4","training","ab","0.9","valid","10","a","win:stay","49","Field3.bmp","Field5.bmp","Field3.bmp","GUID","1","00","10/09/2020","","","5","1","1","winpoints.bmp","A","points","-1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field3.bmp'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/winpoints.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field5.bmp'>","null","html-keyboard-response","21","16379","0.0-7.0-2.4","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","22","17391","0.0-7.0-0.5","","","","","","","","","","","","","","","","","","","","","","","",""
