"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","correct_response","accuracy"
"413.6549999966519","<h3 style=""color:blue;"">Welcome to the experiment!</h3><p>Press the spacebar continue.</p>","32","html-keyboard-response","0","418","0.0-0.0","","",""
"406.32999999797903","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","1","826","0.0-1.0","","",""
"356.5399999934016","<p>The better picture in each pair will be more likely to either</p><p>A) win you some money,</p><p>or</p><p>B) allow you to keep the money you've already earned.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","2","1183","0.0-2.0","","",""
"7883.944999994128","<p>On those trials where you can A) win money, you will want to select the picture most likely to earn a nickel:</p><img src=""stim/win.bmp""></img><p>Because if you keep seeing this feedback:</p><h3 style=""color:red;"">Not a winner. Try again. =[</h3><p>you probably aren't selecting the best picture...</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","3","9069","0.0-3.0","","",""
"3884.330000000773","<p>On those trials where you can B) lose money, you will want to select the picture most likely to give this feedback:</p><h3 style=""color:blue;"">Keep your money.</h3><p>Because if you keep seeing this:</p><img src=""stim/lose.bmp""></img><p>you probably aren't selecting the best picture...</p>","32","html-keyboard-response","4","12955","0.0-4.0","","",""
"2048.0900000111433","<p>Press the LEFT button to select the picture on the LEFT.</p><p>Press the RIGHT button to select the picture on the RIGHT.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","5","15004","0.0-5.0","","",""
"1912.30500000529","<p>First you will do some practice trials.</p> <p>Press either button when you are ready to begin.</p>","49","html-keyboard-response","6","16917","0.0-6.0","","",""
"null","<div style=""color:black; font-size:60px;""></div>","null","html-keyboard-response","7","17919","0.0-7.0-0.0","fixation","",""
"449.4649999978719","<img src='stim/a/Field4.bmp'><img src='stim/a/Field10.bmp'>","50","html-keyboard-response","8","18369","0.0-7.0-1.0","practice","49","0"
"null","<img src='stim/a/Field4.bmp'><img style='border: 5px solid #555;'src='stim/a/Field10.bmp'>","null","html-keyboard-response","9","19376","0.0-7.0-2.0","feedback","",""
"null","<div style=""color:black; font-size:60px;""></div>","null","html-keyboard-response","10","21381","0.0-7.0-0.1","fixation","",""
"428.009999988717","<img src='stim/a/Field13.bmp'><img src='stim/a/Field17.bmp'>","49","html-keyboard-response","11","21810","0.0-7.0-1.1","practice","50","0"
"null","<img style='border: 5px solid #555;'src='stim/a/Field13.bmp'><img src='stim/a/Field17.bmp'>","null","html-keyboard-response","12","22815","0.0-7.0-2.1","feedback","",""
"null","<p"">Thank you.</p>","null","html-keyboard-response","13","28820","0.0-8.0","","",""
