"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","block_type","pair","pair_validity","trial_validity","pairTrialsPerBlock","better_stim","reward_type","correct_response","filename_left","filename_right","filename_better","subjectKey","src_subject_id","site","interview_date","session","sex","sample_group","interview_age","trial_number","block_number","accuracy"
"464.78500007651746","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar continue.</p>","32","html-keyboard-response","0","469","0.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"170.70999997667968","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","1","641","0.0-1.0","","","","","","","","","","","","","","","","","","","","","",""
"187.4699997715652","<p>The better picture in each pair will be more likely to either</p><p>A) win you some money,</p><p>or</p><p>B) allow you to keep the money you've already earned.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","2","829","0.0-2.0","","","","","","","","","","","","","","","","","","","","","",""
"186.7200001142919","<p>On those trials where you can A) win money, you will want to select the picture most likely to earn a nickel:</p><img style=""height:100px; width:100px"" src=""stim/win.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","3","1018","0.0-3.0","","","","","","","","","","","","","","","","","","","","","",""
"178.42500004917383","<p>On those trials where you can B) lose money, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_money.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/lose.bmp""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","4","1198","0.0-4.0","","","","","","","","","","","","","","","","","","","","","",""
"215.76500008814037","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 0 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","5","1415","0.0-5.0","","","","","","","","","","","","","","","","","","","","","",""
"409.2800000216812","<p>First you will do some practice trials.</p> <p>Press either button when you are ready to begin.</p>","49","html-keyboard-response","6","1825","0.0-6.0","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","2514","0.0-7.0-0.0","","","","","","","","","","","","","","","","","","","","","",""
"299.20000000856817","<img src='stim/b/wheat_with_farmhouse.jpg'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/Trees_with_flowers.jpg'>","49","html-keyboard-response","8","2818","0.0-7.0-1.0","practice","ef","1","valid","6","e","avoid:lose","50","stim/b/wheat_with_farmhouse.jpg","stim/b/Trees_with_flowers.jpg","stim/b/Trees_with_flowers.jpg","GUID","20123","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","0","0","0"
"null","<img style='border: 5px solid #808080;' src='stim/b/wheat_with_farmhouse.jpg'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 50px;' src='stim/loselose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/b/Trees_with_flowers.jpg'>","null","html-keyboard-response","9","3823","0.0-7.0-2.0","","","","","","","","","","","","","","","","","","","","","",""
