"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pair_trials_per_block","pair_best_choice","reward_type","correct_response","stim_left","stim_right","stim_best_choice","subjectkey","src_subject_id","site","interview_date","interview_age","sex","handedness","task_version","task_condition","trial","block","reward_tally","accuracy","stim_feedback","stim_set","reward_set"
"1108.2699997350574","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar to continue.</p>","32","html-keyboard-response","0","1111","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"184.07500023022294","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","1","1297","0.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146.86999982222915","<p>The better picture in each pair will be more likely to either:</p><p>A) win you some points,</p><p>or</p><p>B) allow you to keep the points you've already earned.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","2","1445","0.0-2.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146.4949999935925","<p>On those trials where you can A) win points, you will want to select the picture most likely to earn points:</p><img style=""height:100px; width:100px"" src=""stim/winpoints.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","3","1593","0.0-3.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151.1099999770522","<p>On those trials where you can B) lose points, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_points.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/losepoints.bmp""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","4","1746","0.0-4.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141.2100000306964","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 0 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar to continue.</p>","32","html-keyboard-response","5","1889","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1079.810000024736","<p>First, you will do some practice trials.</p> <p>Press either response button when you are ready to begin.</p>","48","html-keyboard-response","6","2969","0.0-6.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","3471","0.0-7.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614.2400000244379","<img src='stim/b/African_landscape.jpg' width='750px' height='500px'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'>","48","html-keyboard-response","8","4089","0.0-7.0-1.0","practice","ab","1","valid","6","a","win:stay","49","African_landscape.jpg","closeWater_pines_mountains.jpg","African_landscape.jpg","GUID","2123","2","11/12/2020","0","M","left","points","B","-1","1","0","0","not_winner.png","B","points"
"null","<img style='border: 5px solid #ffffff; padding-right:15px;' src='stim/b/African_landscape.jpg' width='750px' height='500px'><img style='width:150px; height:150px; padding-right: 50px; padding-left: 50px; margin-bottom: 25px;' src='stim/not_winner.png'><img style='border: 5px solid #808080;'src='stim/b/closeWater_pines_mountains.jpg' width='750px' height='500px'>","null","html-keyboard-response","9","5095","0.0-7.0-2.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
