"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","pair","pair_validity","trial_validity","pairTrialsPerBlock","good_stim","reward_type","correct_response","accuracy"
"773.3000000000002","<h3 style=""color:#0ed145;"">Welcome to the experiment!</h3><p>Press the spacebar continue.</p>","32","html-keyboard-response","0","778","0.0-0.0","","","","","","","","",""
"231.80000000000018","<p>In this task you will see two pictures side-by-side on the computer screen.</p><p>In each pair of pictures you see on the screen, one picture will be better than the other.</p><p>You need to figure out which picture in each pair is the better one.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","1","1013","0.0-1.0","","","","","","","","",""
"265.90000000000054","<p>The better picture in each pair will be more likely to either</p><p>A) win you some money,</p><p>or</p><p>B) allow you to keep the money you've already earned.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","2","1281","0.0-2.0","","","","","","","","",""
"300.8000000000002","<p>On those trials where you can A) win money, you will want to select the picture most likely to earn a nickel:</p><img style=""height:100px; width:100px"" src=""stim/win.bmp""</img><p>Because if you keep seeing this feedback:</p><img style=""height:125px; width:125px"" src=""stim/not_winner.png""></img><p>you probably aren't selecting the best picture...</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","3","1586","0.0-3.0","","","","","","","","",""
"308.89999999999963","<p>On those trials where you can B) lose money, you will want to select the picture most likely to give this feedback:</p><img style=""height:125px; width:125px"" src=""stim/keep_money.png""></img><p>Because if you keep seeing this:</p><img style=""height:100px; width:100px"" src=""stim/lose.bmp""></img><p>you probably aren't selecting the best picture...</p>","32","html-keyboard-response","4","1898","0.0-4.0","","","","","","","","",""
"325.2999999999993","<p>Press the 1 key on your keyboard to select the picture on the LEFT.</p><p>Press the 2 key on your keyboard to select the picture on the RIGHT.</p><p>Press the spacebar continue.</p>","32","html-keyboard-response","5","2226","0.0-5.0","","","","","","","","",""
"2839.7999999999992","<p>First you will do some practice trials.</p> <p>Press either button when you are ready to begin.</p>","49","html-keyboard-response","6","5067","0.0-6.0","","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","7","5584","0.0-7.0-0.0","fixation","","","","","","","",""
"334.5","<img src='stim/a/Field4.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field10.bmp'>","49","html-keyboard-response","8","5922","0.0-7.0-1.0","practice","ab","1","valid","6","a","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field4.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field10.bmp'>","null","html-keyboard-response","9","6936","0.0-7.0-2.0","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","10","7952","0.0-7.0-0.1","fixation","","","","","","","",""
"510.5","<img src='stim/a/Field10.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field4.bmp'>","49","html-keyboard-response","11","8466","0.0-7.0-1.1","practice","ab","1","valid","6","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field10.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field4.bmp'>","null","html-keyboard-response","12","9482","0.0-7.0-2.1","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","13","10497","0.0-7.0-0.2","fixation","","","","","","","",""
"309.2000000000007","<img src='stim/a/Field13.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field17.bmp'>","49","html-keyboard-response","14","10809","0.0-7.0-1.2","practice","ef","1","valid","6","e","avoid:lose","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field13.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field17.bmp'>","null","html-keyboard-response","15","11825","0.0-7.0-2.2","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","16","12841","0.0-7.0-0.3","fixation","","","","","","","",""
"302.1000000000022","<img src='stim/a/Field17.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field13.bmp'>","49","html-keyboard-response","17","13146","0.0-7.0-1.3","practice","ef","1","valid","6","e","avoid:lose","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field17.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field13.bmp'>","null","html-keyboard-response","18","14162","0.0-7.0-2.3","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","19","15164","0.0-7.0-0.4","fixation","","","","","","","",""
"314.5","<img src='stim/a/Field4.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field10.bmp'>","49","html-keyboard-response","20","15482","0.0-7.0-1.4","practice","ab","1","valid","6","a","win:stay","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field4.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/win.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field10.bmp'>","null","html-keyboard-response","21","16499","0.0-7.0-2.4","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","22","17515","0.0-7.0-0.5","fixation","","","","","","","",""
"339.5","<img src='stim/a/Field17.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field13.bmp'>","49","html-keyboard-response","23","17858","0.0-7.0-1.5","practice","ef","1","valid","6","e","avoid:lose","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field17.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/lose.bmp'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field13.bmp'>","null","html-keyboard-response","24","18874","0.0-7.0-2.5","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","25","19875","0.0-7.0-0.6","fixation","","","","","","","",""
"307.2000000000007","<img src='stim/a/Field10.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field4.bmp'>","49","html-keyboard-response","26","20186","0.0-7.0-1.6","practice","ab","1","valid","6","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field10.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field4.bmp'>","null","html-keyboard-response","27","21200","0.0-7.0-2.6","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","28","22204","0.0-7.0-0.7","fixation","","","","","","","",""
"267.2999999999993","<img src='stim/a/Field13.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field17.bmp'>","49","html-keyboard-response","29","22474","0.0-7.0-1.7","practice","ef","1","valid","6","e","avoid:lose","49","1"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field13.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/keep_money.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field17.bmp'>","null","html-keyboard-response","30","23491","0.0-7.0-2.7","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","31","24508","0.0-7.0-0.8","fixation","","","","","","","",""
"331","<img src='stim/a/Field10.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field4.bmp'>","49","html-keyboard-response","32","24842","0.0-7.0-1.8","practice","ab","1","valid","6","a","win:stay","50","0"
"null","<img style='border: 5px solid #808080;' src='stim/a/Field10.bmp'><img style='width:100px; height:100px; padding-right: 75px; padding-left: 75px; margin-bottom: 50px;' src='stim/not_winner.png'><img style='border: 5px solid #ffffff;  padding-left:15px;' src='stim/a/Field4.bmp'>","null","html-keyboard-response","33","25858","0.0-7.0-2.8","feedback","","","","","","","",""
"null","<img style='width:200px; height:200px; margin-left: 95px; margin-right: 95px;' src='stim/fixation.png'>","null","html-keyboard-response","34","26861","0.0-7.0-0.9","fixation","","","","","","","",""
"311.8000000000029","<img src='stim/a/Field4.bmp'><img style='width:200px; height:200px; margin-bottom: 0px;' src='stim/fixation.png'><img src='stim/a/Field10.bmp'>","49","html-keyboard-response","35","27177","0.0-7.0-1.9","practice","ab","1","valid","6","a","win:stay","49","1"
